cohort,model,prior_wave,landmark_wave,prior_year,landmark_year,outcome_year,history_horizon_years,prediction_horizon_years,primary_horizon,interval_class,evaluation_weighting,persons,records,events,event_rate,mean_prediction,auc,brier,calibration_intercept,calibration_slope
HRS,M0,2,3,1994,1996,1998,2,2,TRUE,primary_2to3_year,respondent_weighted,2674,2272,377,0.161415614706639,0.221926194783957,0.610603580354073,0.135725447305521,-0.399600984098173,1.28268082791044
HRS,M1,4,5,1998,2000,2002,2,2,TRUE,primary_2to3_year,respondent_weighted,7250,7245,670,0.0924909850878429,0.104302073331189,0.758386422418308,0.0762235685794304,-0.143248329435283,1.15911779490807
HRS,M1,5,6,2000,2002,2004,2,2,TRUE,primary_2to3_year,respondent_weighted,7351,7343,677,0.0911285141674796,0.109233461017351,0.75794448370016,0.0753969872107161,-0.217056460332375,1.18201788694716
HRS,M1,6,7,2002,2004,2006,2,2,TRUE,primary_2to3_year,respondent_weighted,7266,7263,695,0.0920079363282125,0.107967291438304,0.750880158801397,0.0772455902957429,-0.191397479571417,1.08627389185472
HRS,M1,7,8,2004,2006,2008,2,2,TRUE,primary_2to3_year,respondent_weighted,7110,7106,683,0.0895871290167544,0.109872039152021,0.757071147185502,0.0749358696716246,-0.245678835416337,1.11766459225465
HRS,M1,8,9,2006,2008,2010,2,2,TRUE,primary_2to3_year,respondent_weighted,6877,6876,756,0.101077278388496,0.10621594746206,0.732108501588807,0.0833901263301516,-0.0598291907548492,1.04263481239432
HRS,M1,9,10,2008,2010,2012,2,2,TRUE,primary_2to3_year,respondent_weighted,6905,6901,598,0.0773911502963002,0.105707925085876,0.752395027360935,0.0671936328731107,-0.368983917995181,1.10015637539248
HRS,M1,10,11,2010,2012,2014,2,2,TRUE,primary_2to3_year,respondent_weighted,7307,7300,700,0.084668834784631,0.102287953869169,0.751025265918459,0.0718699841403564,-0.225087163122606,1.07765323507072
HRS,M1,11,12,2012,2014,2016,2,2,TRUE,primary_2to3_year,respondent_weighted,7048,7043,690,0.0829812049847908,0.100884232189593,0.753305708040715,0.0707706242652975,-0.232030253795475,1.07373124701814
HRS,M1,12,13,2014,2016,2018,2,2,TRUE,primary_2to3_year,respondent_weighted,6564,6560,569,0.0736738851661433,0.0982962623369209,0.758831986277063,0.0641636999158733,-0.338680752873503,1.08183646689144
HRS,M1,13,14,2016,2018,2020,2,2,TRUE,primary_2to3_year,respondent_weighted,6360,6355,553,0.0714905115788251,0.0959062706107412,0.797714930819809,0.060230444256084,-0.343993026193114,1.32527968397547
HRS,M1,14,15,2018,2020,2022,2,2,TRUE,primary_2to3_year,respondent_weighted,5757,5746,547,0.0765500840599474,0.0938412843574307,0.771174918901075,0.0654104491940642,-0.238466807399712,1.18617616345139
HRS,M1,3,4,1996,1998,2000,2,2,TRUE,primary_2to3_year,respondent_weighted,5472,5462,502,0.0944120709078168,0.108613098743605,0.753172495372551,0.0785350207364636,-0.168069739753855,1.09304164852387
HRS,M1,2,3,1994,1996,1998,2,2,TRUE,primary_2to3_year,respondent_weighted,2674,2272,377,0.161415614706639,0.145869487609758,0.73494238009114,0.12145484755009,0.127976298650953,1.32736432921962
ELSA,M0,3,4,2006,2008,2010,2,2,TRUE,primary_2to3_year,respondent_weighted,3288,3201,322,0.1103029651401,0.156964319715471,0.68512179879545,0.0956869774440261,-0.414714035854511,1.67964191879486
ELSA,M0,4,5,2008,2010,2012,2,2,TRUE,primary_2to3_year,respondent_weighted,4377,4159,361,0.091464002938977,0.151335928727441,0.612982914449389,0.0849078463801524,-0.581619343421239,1.17083207380962
ELSA,M0,5,6,2010,2012,2014,2,2,TRUE,primary_2to3_year,respondent_weighted,4475,4179,349,0.0881204542160786,0.151728978828488,0.664162728453055,0.0810292816814391,-0.625839708741964,1.6926142344159
ELSA,M0,6,7,2012,2014,2016,2,2,TRUE,primary_2to3_year,respondent_weighted,4487,4080,379,0.0967480018841806,0.152930509317906,0.627749979246926,0.0881006076431509,-0.530570845238495,1.34846671692164
ELSA,M0,7,8,2014,2016,2018,2,2,TRUE,primary_2to3_year,respondent_weighted,4363,3911,370,0.0958215928498083,0.155696693369077,0.641546646258065,0.0879754468324928,-0.563451878047357,1.34447036321508
ELSA,M0,8,9,2016,2018,2021,2,3,TRUE,primary_2to3_year,respondent_weighted,3251,2870,362,0.121803096688429,0.153944390383878,0.663213315364709,0.103295957318967,-0.276168783605076,1.69908048121033
ELSA,M0,2,3,2004,2006,2008,2,2,TRUE,primary_2to3_year,respondent_weighted,3089,3064,351,0.115127722553468,0.154295478287149,0.653125169999679,0.0987606676749405,-0.344597757599864,1.56023004507469
ELSA,M0,1,2,2002,2004,2006,2,2,TRUE,primary_2to3_year,respondent_weighted,3281,3274,329,0.103766038802746,0.155961078834055,0.633715865056689,0.0930707206803566,-0.475886028569707,1.31062010710657
ELSA,M1,3,4,2006,2008,2010,2,2,TRUE,primary_2to3_year,respondent_weighted,3288,3201,322,0.1103029651401,0.0858725191080304,0.767603641590081,0.0889029976577502,0.301089494978005,1.16422592961055
ELSA,M1,4,5,2008,2010,2012,2,2,TRUE,primary_2to3_year,respondent_weighted,4377,4159,361,0.091464002938977,0.0802368888205534,0.744740655084113,0.0775420192290301,0.15466493012424,1.01549656470643
ELSA,M1,5,6,2010,2012,2014,2,2,TRUE,primary_2to3_year,respondent_weighted,4475,4179,349,0.0881204542160786,0.0803155089778793,0.76680363769972,0.0720495814527545,0.109165666765873,1.20038303733485
ELSA,M1,6,7,2012,2014,2016,2,2,TRUE,primary_2to3_year,respondent_weighted,4487,4080,379,0.0967480018841806,0.0810008031089158,0.749707445383789,0.0801586851855117,0.209738258368583,1.10775419767404
ELSA,M1,7,8,2014,2016,2018,2,2,TRUE,primary_2to3_year,respondent_weighted,4363,3911,370,0.0958215928498083,0.0818450816035417,0.765795066523063,0.079318336500657,0.186427770761631,1.14314636278678
ELSA,M1,8,9,2016,2018,2021,2,3,TRUE,primary_2to3_year,respondent_weighted,3251,2870,362,0.121803096688429,0.11094895787683,0.774603334640092,0.0946355985427287,0.115167914211305,1.25949190233208
